,Query,Subject,% alignment,length,# of mismatches,# of gaps,qstart,qend,sstart,send,E-value,bitscore,Subject_Loc,Query_Loc
35,lcl|NZ_CP012004.1_cds_WP_001036017.1_34,lcl|CP000521.1_cds_ABO13830.2_3765,100.0,654,0,0,1,654,1,654,0.0,1208.0,A1S_3441,ACX60_RS00195
36,lcl|NZ_CP012004.1_cds_WP_001097137.1_35,lcl|CP000521.1_cds_ABO13829.1_3764,100.0,1191,0,0,1,1191,1,1191,0.0,2200.0,A1S_3440,ACX60_RS00200
37,lcl|NZ_CP012004.1_cds_WP_001025237.1_36,lcl|CP000521.1_cds_ABO13828.1_3763,100.0,804,0,0,1,804,1,804,0.0,1485.0,A1S_3439,ACX60_RS00205
38,lcl|NZ_CP012004.1_cds_WP_000843076.1_37,lcl|CP000521.1_cds_ABO13827.2_3762,100.0,903,0,0,1,903,1,903,0.0,1668.0,A1S_3438,ACX60_RS00210
39,lcl|NZ_CP012004.1_cds_WP_000770096.1_38,lcl|CP000521.1_cds_ABS90337.2_3761,100.0,375,0,0,1,375,1,375,0.0,693.0,A1S_3912,ACX60_RS00215
40,lcl|NZ_CP012004.1_cds_WP_001985074.1_39,lcl|CP000521.1_cds_ABO13826.2_3760,100.0,40,0,0,1,40,40,1,9.05e-15,75.0,A1S_3437,ACX60_RS19395
41,lcl|NZ_CP012004.1_cds_WP_000143932.1_40,lcl|CP000521.1_cds_ABO13826.2_3760,100.0,1425,0,0,1,1425,1,1425,0.0,2632.0,A1S_3437,ACX60_RS00220
42,lcl|NZ_CP012004.1_cds_WP_000069827.1_41,lcl|CP000521.1_cds_ABO13825.2_3759,100.0,1029,0,0,1,1029,1,1029,0.0,1901.0,A1S_3436,ACX60_RS00225
43,lcl|NZ_CP012004.1_cds_WP_000857022.1_42,lcl|CP000521.1_cds_ABO13824.2_3758,100.0,561,0,0,1,561,1,561,0.0,1037.0,A1S_3435,ACX60_RS00230
44,lcl|NZ_CP012004.1_cds_WP_001287365.1_43,lcl|CP000521.1_cds_ABO13823.1_3757,100.0,246,0,0,1,246,1,246,6.040000000000001e-129,455.0,A1S_3434,ACX60_RS00235
45,lcl|NZ_CP012004.1_cds_WP_009517919.1_44,lcl|CP000521.1_cds_ABO13822.1_3756,100.0,417,0,0,121,537,1,417,0.0,771.0,A1S_3433,ACX60_RS00240
46,lcl|NZ_CP012004.1_cds_WP_001113875.1_45,lcl|CP000521.1_cds_ABO13821.2_3755,99.903,1035,0,1,1,1035,1,1034,0.0,1905.0,A1S_3432,ACX60_RS00245
47,lcl|NZ_CP012004.1_cds_WP_000130110.1_46,lcl|CP000521.1_cds_ABO13820.2_3754,100.0,363,0,0,1,363,1,363,0.0,671.0,A1S_3431,ACX60_RS00250
48,lcl|NZ_CP012004.1_cds_WP_000100767.1_47,lcl|CP000521.1_cds_ABO13819.2_3752,100.0,738,0,0,1,738,1,738,0.0,1363.0,A1S_3430,ACX60_RS00255
49,lcl|NZ_CP012004.1_cds_WP_000490267.1_48,lcl|CP000521.1_cds_ABS90335.2_3751,100.0,159,0,0,1,159,1,159,8.61e-81,294.0,A1S_3910,ACX60_RS00260
50,lcl|NZ_CP012004.1_cds_WP_000102817.1_49,lcl|CP000521.1_cds_ABO13818.2_3750,100.0,360,0,0,100,459,1,360,0.0,665.0,A1S_3429,ACX60_RS00265
51,lcl|NZ_CP012004.1_cds_WP_000986272.1_50,lcl|CP000521.1_cds_ABO13817.2_3749,98.304,1120,0,2,1,1120,1,1101,0.0,1945.0,A1S_3428,ACX60_RS00270
52,lcl|NZ_CP012004.1_cds_WP_001285406.1_51,lcl|CP000521.1_cds_ABO13816.2_3748,100.0,1266,0,0,1,1266,1,1266,0.0,2338.0,A1S_3427,ACX60_RS00275
53,lcl|NZ_CP012004.1_cds_WP_000349490.1_52,lcl|CP000521.1_cds_ABO13815.1_3747,100.0,840,0,0,1,840,1,840,0.0,1552.0,A1S_3426,ACX60_RS00280
54,lcl|NZ_CP012004.1_cds_WP_000418560.1_53,lcl|CP000521.1_cds_ABS90334.2_3746,100.0,204,0,0,1,204,1,204,1.1e-105,377.0,A1S_3909,ACX60_RS00285
55,lcl|NZ_CP012004.1_cds_WP_000917863.1_54,lcl|CP000521.1_cds_ABO13814.2_3745,100.0,720,0,0,1,720,1,720,0.0,1330.0,A1S_3425,ACX60_RS00290
56,lcl|NZ_CP012004.1_cds_WP_001177091.1_55,lcl|CP000521.1_cds_ABO13813.2_3744,100.0,603,0,0,1,603,4,606,0.0,1114.0,A1S_3424,ACX60_RS00295
57,lcl|NZ_CP012004.1_cds_WP_000193600.1_56,lcl|CP000521.1_cds_ABO13812.2_3743,100.0,894,0,0,1,894,1,894,0.0,1652.0,A1S_3423,ACX60_RS00300
58,lcl|NZ_CP012004.1_cds_WP_001985076.1_57,lcl|CP000521.1_cds_ABO13811.2_3742,100.0,639,0,0,7,645,1,639,0.0,1181.0,A1S_3422,ACX60_RS00305
59,lcl|NZ_CP012004.1_cds_WP_001275071.1_58,lcl|CP000521.1_cds_ABO13810.2_3741,100.0,939,0,0,1,939,1,939,0.0,1735.0,A1S_3421,ACX60_RS00310
60,lcl|NZ_CP012004.1_cds_WP_001071757.1_59,lcl|CP000521.1_cds_ABO13809.2_3740,100.0,1344,0,0,1,1344,1,1344,0.0,2483.0,A1S_3420,ACX60_RS00315
61,lcl|NZ_CP012004.1_cds_WP_000924626.1_60,lcl|CP000521.1_cds_ABO13808.2_3739,100.0,471,0,0,1,471,1,471,0.0,870.0,A1S_3419,ACX60_RS00320
62,lcl|NZ_CP012004.1_cds_WP_000353163.1_61,lcl|CP000521.1_cds_ABO13807.2_3738,100.0,1056,0,0,1,1056,1,1056,0.0,1951.0,A1S_3418,ACX60_RS00325
63,lcl|NZ_CP012004.1_cds_WP_000568800.1_62,lcl|CP000521.1_cds_ABO13806.2_3737,100.0,780,0,0,1,780,1,780,0.0,1441.0,A1S_3417,ACX60_RS00330
64,lcl|NZ_CP012004.1_cds_WP_000141645.1_63,lcl|CP000521.1_cds_ABO13805.2_3736,100.0,549,0,0,1,549,1,549,0.0,1014.0,A1S_3416,ACX60_RS00335
65,lcl|NZ_CP012004.1_cds_WP_000781240.1_64,lcl|CP000521.1_cds_ABO13804.2_3735,100.0,633,0,0,1,633,1,633,0.0,1170.0,A1S_3415,ACX60_RS00340
66,lcl|NZ_CP012004.1_cds_WP_000435855.1_65,lcl|CP000521.1_cds_ABO13803.1_3734,100.0,1308,0,0,1,1308,1,1308,0.0,2416.0,A1S_3414,ACX60_RS00345
67,lcl|NZ_CP012004.1_cds_WP_000107088.1_66,lcl|CP000521.1_cds_ABO13802.2_3733,100.0,1389,0,0,1,1389,1,1389,0.0,2566.0,A1S_3413,ACX60_RS00350
68,lcl|NZ_CP012004.1_cds_WP_000833243.1_67,lcl|CP000521.1_cds_ABO13801.2_3732,100.0,684,0,0,1,684,1,684,0.0,1264.0,A1S_3412,ACX60_RS00355
69,lcl|NZ_CP012004.1_cds_WP_125519493.1_68,lcl|CP000521.1_cds_ABO13800.2_3731,100.0,1266,0,0,1,1266,1,1266,0.0,2338.0,A1S_3411,ACX60_RS00360
70,lcl|NZ_CP012004.1_cds_WP_025467426.1_69,lcl|CP000521.1_cds_ABO13799.2_3730,99.906,1068,0,1,46,1113,1,1067,0.0,1965.0,A1S_3410,ACX60_RS00365
71,lcl|NZ_CP012004.1_cds_WP_001138322.1_70,lcl|CP000521.1_cds_ABO13798.2_3729,100.0,753,0,0,1,753,1,753,0.0,1391.0,A1S_3409,ACX60_RS00370
72,lcl|NZ_CP012004.1_cds_WP_000571159.1_71,lcl|CP000521.1_cds_ABO13797.2_3728,100.0,576,0,0,1,576,1,576,0.0,1064.0,A1S_3408,ACX60_RS00375
73,lcl|NZ_CP012004.1_cds_WP_000214181.1_72,lcl|CP000521.1_cds_ABO13796.1_3727,100.0,1230,0,0,100,1329,1,1230,0.0,2272.0,A1S_3407,ACX60_RS00380
74,lcl|NZ_CP012004.1_cds_WP_000214181.1_72,lcl|CP000521.1_cds_ABO13795.1_3726,100.0,297,0,0,1381,1677,1,297,1.97e-156,549.0,A1S_3406,ACX60_RS00380
75,lcl|NZ_CP012004.1_cds_WP_000421600.1_73,lcl|CP000521.1_cds_ABO13794.2_3725,100.0,1539,0,0,1,1539,1,1539,0.0,2843.0,A1S_3405,ACX60_RS00385
76,lcl|NZ_CP012004.1_cds_WP_000081464.1_74,lcl|CP000521.1_cds_ABO13793.2_3724,100.0,1413,0,0,1,1413,1,1413,0.0,2610.0,A1S_3404,ACX60_RS00390
77,lcl|NZ_CP012004.1_cds_WP_000737795.1_75,lcl|CP000521.1_cds_ABO13792.2_3723,100.0,1206,0,0,1,1206,1,1206,0.0,2228.0,A1S_3403,ACX60_RS00395
78,lcl|NZ_CP012004.1_cds_WP_001016890.1_76,lcl|CP000521.1_cds_ABO13791.2_3722,100.0,921,0,0,1,921,1,921,0.0,1701.0,A1S_3402,ACX60_RS00400
79,lcl|NZ_CP012004.1_cds_WP_009517991.1_77,lcl|CP000521.1_cds_ABO13789.1_3720,100.0,981,0,0,847,1827,1,981,0.0,1812.0,A1S_3400,ACX60_RS00405
80,lcl|NZ_CP012004.1_cds_WP_009517991.1_77,lcl|CP000521.1_cds_ABO13790.1_3721,99.843,637,0,1,49,685,1,636,0.0,1170.0,A1S_3401,ACX60_RS00405
81,lcl|NZ_CP012004.1_cds_WP_009517991.1_77,lcl|CP000521.1_cds_ABO13788.2_3719,100.0,31,0,0,1797,1827,1,31,1.59e-08,58.4,A1S_3399,ACX60_RS00405
82,lcl|NZ_CP012004.1_cds_WP_009517953.1_78,lcl|CP000521.1_cds_ABO13788.2_3719,100.0,639,0,0,1,639,130,768,0.0,1181.0,A1S_3399,ACX60_RS00410
83,lcl|NZ_CP012004.1_cds_WP_001063725.1_79,lcl|CP000521.1_cds_ABO13787.2_3718,100.0,801,0,0,1,801,1,801,0.0,1480.0,A1S_3398,ACX60_RS00415
84,lcl|NZ_CP012004.1_cds_WP_000624236.1_80,lcl|CP000521.1_cds_ABO13786.2_3717,100.0,624,0,0,1,624,1,624,0.0,1153.0,A1S_3397,ACX60_RS00420
85,lcl|NZ_CP012004.1_cds_WP_001273438.1_81,lcl|CP000521.1_cds_ABS90333.1_3716,100.0,1215,0,0,1,1215,1,1215,0.0,2244.0,A1S_3908,ACX60_RS00425
86,lcl|NZ_CP012004.1_cds_82,lcl|CP000521.1_cds_ABS90332.1_3715,100.0,123,0,0,1,123,52,174,1.74e-60,228.0,A1S_3907,ACX60_RS00430
87,lcl|NZ_CP012004.1_cds_82,lcl|CP000521.1_cds_ABS89911.2_85,87.838,74,9,0,198,271,150,223,3.09e-18,87.9,A1S_3486,ACX60_RS00430
88,lcl|NZ_CP012004.1_cds_WP_009517977.1_83,lcl|CP000521.1_cds_ABO13784.1_3713,99.858,705,0,1,265,968,1,705,0.0,1295.0,A1S_3395,ACX60_RS00440
89,lcl|NZ_CP012004.1_cds_WP_009517977.1_83,lcl|CP000521.1_cds_ABO13785.1_3714,100.0,690,0,0,1150,1839,1,690,0.0,1275.0,A1S_3396,ACX60_RS00440
90,lcl|NZ_CP012004.1_cds_WP_000108581.1_84,lcl|CP000521.1_cds_ABO13782.1_3711,99.805,512,0,1,253,763,1,512,0.0,939.0,A1S_3393,ACX60_RS00445
91,lcl|NZ_CP012004.1_cds_WP_000108581.1_84,lcl|CP000521.1_cds_ABO13783.1_3712,100.0,363,0,0,1003,1365,1,363,0.0,671.0,A1S_3394,ACX60_RS00445
92,lcl|NZ_CP012004.1_cds_WP_000380676.1_85,lcl|CP000521.1_cds_ABO13781.2_3710,100.0,516,0,0,1,516,1,516,0.0,953.0,A1S_3392,ACX60_RS00450
93,lcl|NZ_CP012004.1_cds_WP_000807401.1_86,lcl|CP000521.1_cds_ABO13780.2_3709,100.0,918,0,0,1,918,1,918,0.0,1696.0,A1S_3391,ACX60_RS00455
94,lcl|NZ_CP012004.1_cds_WP_000084188.1_87,lcl|CP000521.1_cds_ABO13779.2_3708,100.0,450,0,0,1,450,1,450,0.0,832.0,A1S_3390,ACX60_RS00460
95,lcl|NZ_CP012004.1_cds_WP_001007829.1_88,lcl|CP000521.1_cds_ABO13778.2_3707,100.0,471,0,0,1,471,1,471,0.0,870.0,A1S_3389,ACX60_RS00465
96,lcl|NZ_CP012004.1_cds_WP_001131392.1_89,lcl|CP000521.1_cds_ABO13777.2_3706,100.0,1122,0,0,1,1122,1,1122,0.0,2073.0,A1S_3388,ACX60_RS00470
97,lcl|NZ_CP012004.1_cds_WP_002000748.1_90,lcl|CP000521.1_cds_ABO13776.2_3705,100.0,1290,0,0,19,1308,1,1290,0.0,2383.0,A1S_3387,ACX60_RS00475
98,lcl|NZ_CP012004.1_cds_WP_001206799.1_91,lcl|CP000521.1_cds_ABO13775.1_3704,100.0,1161,0,0,64,1224,1,1161,0.0,2145.0,A1S_3386,ACX60_RS00480
99,lcl|NZ_CP012004.1_cds_WP_000255593.1_92,lcl|CP000521.1_cds_ABO13774.1_3703,100.0,336,0,0,1,336,1,336,7.870000000000001e-179,621.0,A1S_3385,ACX60_RS00485
100,lcl|NZ_CP012004.1_cds_WP_000778126.1_93,lcl|CP000521.1_cds_ABO13773.2_3702,100.0,480,0,0,1,480,1,480,0.0,887.0,A1S_3384,ACX60_RS00490
101,lcl|NZ_CP012004.1_cds_WP_001202017.1_94,lcl|CP000521.1_cds_ABO13772.2_3701,100.0,444,0,0,1,444,1,444,0.0,821.0,A1S_3383,ACX60_RS00495
102,lcl|NZ_CP012004.1_cds_WP_000476843.1_95,lcl|CP000521.1_cds_ABO13771.2_3700,99.932,1471,0,1,1,1471,1,1470,0.0,2710.0,A1S_3382,ACX60_RS00500
103,lcl|NZ_CP012004.1_cds_WP_000476843.1_95,lcl|CP000521.1_cds_ABS90331.1_3699,100.0,114,0,0,1411,1524,1,114,9.6e-55,211.0,A1S_3906,ACX60_RS00500
104,lcl|NZ_CP012004.1_cds_WP_000639068.1_96,lcl|CP000521.1_cds_ABO13770.1_3698,100.0,411,0,0,76,486,1,411,0.0,760.0,A1S_3381,ACX60_RS00505
105,lcl|NZ_CP012004.1_cds_WP_000074557.1_97,lcl|CP000521.1_cds_ABO13769.2_3697,100.0,1215,0,0,1,1215,1,1215,0.0,2244.0,A1S_3380,ACX60_RS00510
106,lcl|NZ_CP012004.1_cds_WP_000174475.1_98,lcl|CP000521.1_cds_ABO13768.2_3696,100.0,849,0,0,1,849,1,849,0.0,1568.0,A1S_3379,ACX60_RS00515
107,lcl|NZ_CP012004.1_cds_WP_000011220.1_99,lcl|CP000521.1_cds_ABO13767.2_3695,100.0,852,0,0,1,852,1,852,0.0,1574.0,A1S_3378,ACX60_RS00520
108,lcl|NZ_CP012004.1_cds_WP_000619868.1_100,lcl|CP000521.1_cds_ABO13766.2_3694,100.0,1197,0,0,1,1197,1,1197,0.0,2211.0,A1S_3377,ACX60_RS00525
109,lcl|NZ_CP012004.1_cds_WP_000273191.1_101,lcl|CP000521.1_cds_ABO13765.2_3693,100.0,1359,0,0,1,1359,1,1359,0.0,2510.0,A1S_3376,ACX60_RS00530
110,lcl|NZ_CP012004.1_cds_WP_000650776.1_102,lcl|CP000521.1_cds_ABO13764.1_3692,100.0,465,0,0,247,711,1,465,0.0,859.0,A1S_3375,ACX60_RS00535
111,lcl|NZ_CP012004.1_cds_WP_000650776.1_102,lcl|CP000521.1_cds_ABO13763.1_3691,100.0,164,0,0,1,164,1,164,7.08e-83,303.0,A1S_3374,ACX60_RS00535
112,lcl|NZ_CP012004.1_cds_WP_000224581.1_103,lcl|CP000521.1_cds_ABO13762.2_3690,100.0,672,0,0,1,672,1,672,0.0,1242.0,A1S_3373,ACX60_RS00540
113,lcl|NZ_CP012004.1_cds_WP_000787753.1_104,lcl|CP000521.1_cds_ABO13761.2_3689,100.0,834,0,0,1,834,1,834,0.0,1541.0,A1S_3372,ACX60_RS00545
114,lcl|NZ_CP012004.1_cds_WP_001135124.1_105,lcl|CP000521.1_cds_ABO13760.2_3688,100.0,1368,0,0,1,1368,1,1368,0.0,2527.0,A1S_3371,ACX60_RS00550
115,lcl|NZ_CP012004.1_cds_WP_000939861.1_106,lcl|CP000521.1_cds_ABO13759.2_3687,100.0,1155,0,0,1,1155,1,1155,0.0,2134.0,A1S_3370,ACX60_RS00555
116,lcl|NZ_CP012004.1_cds_WP_001055481.1_107,lcl|CP000521.1_cds_ABO13758.2_3686,100.0,1311,0,0,1,1311,1,1311,0.0,2422.0,A1S_3369,ACX60_RS00560
117,lcl|NZ_CP012004.1_cds_WP_000876371.1_108,lcl|CP000521.1_cds_ABO13757.2_3685,100.0,564,0,0,1,564,1,564,0.0,1042.0,A1S_3368,ACX60_RS00565
118,lcl|NZ_CP012004.1_cds_WP_000876371.1_108,lcl|CP000521.1_cds_ABS90330.1_3684,100.0,74,0,0,1,74,74,1,5.9700000000000004e-33,137.0,A1S_3905,ACX60_RS00565
119,lcl|NZ_CP012004.1_cds_WP_000999594.1_109,lcl|CP000521.1_cds_ABO13756.2_3683,100.0,540,0,0,1,540,1,540,0.0,998.0,A1S_3367,ACX60_RS00570
120,lcl|NZ_CP012004.1_cds_WP_000082281.1_110,lcl|CP000521.1_cds_ABO13755.1_3682,99.916,1185,0,1,70,1253,1,1185,0.0,2182.0,A1S_3366,ACX60_RS00575
121,lcl|NZ_CP012004.1_cds_WP_000082281.1_110,lcl|CP000521.1_cds_ABS90329.1_3681,100.0,210,0,0,1369,1578,1,210,4.28e-108,388.0,A1S_3904,ACX60_RS00575
122,lcl|NZ_CP012004.1_cds_WP_001240040.1_111,lcl|CP000521.1_cds_ABO13754.2_3680,100.0,516,0,0,1,516,1,516,0.0,953.0,A1S_3365,ACX60_RS00580
123,lcl|NZ_CP012004.1_cds_112,lcl|CP000521.1_cds_ABO13753.1_3679,99.929,2804,0,1,148,2951,1,2802,0.0,5166.0,A1S_3364,ACX60_RS00585
124,lcl|NZ_CP012004.1_cds_112,lcl|CP000521.1_cds_ABS90328.1_3678,100.0,132,0,0,2977,3108,1,132,1.94e-64,244.0,A1S_3903,ACX60_RS00585
125,lcl|NZ_CP012004.1_cds_WP_085944194.1_113,lcl|CP000521.1_cds_ABO11107.2_691,100.0,903,0,0,319,1221,1,903,0.0,1668.0,A1S_0658,ACX60_RS00590
126,lcl|NZ_CP012004.1_cds_WP_085944194.1_113,lcl|CP000521.1_cds_ABO11106.2_690,99.687,319,0,1,1,319,1,318,1.41e-166,582.0,A1S_0657,ACX60_RS00590
127,lcl|NZ_CP012004.1_cds_WP_049594793.1_114,lcl|CP000521.1_cds_ABS90327.2_3676,100.0,1743,0,0,697,2439,1,1743,0.0,3219.0,A1S_3902,ACX60_RS00605
128,lcl|NZ_CP012004.1_cds_WP_049594793.1_114,lcl|CP000521.1_cds_ABO13752.2_3677,99.828,581,0,1,1,580,25,605,0.0,1066.0,A1S_3363,ACX60_RS00605
129,lcl|NZ_CP012004.1_cds_WP_000598979.1_115,lcl|CP000521.1_cds_ABS90326.2_3675,100.0,807,0,0,1,807,1,807,0.0,1491.0,A1S_3901,ACX60_RS00610
130,lcl|NZ_CP012004.1_cds_WP_001045997.1_116,lcl|CP000521.1_cds_ABS90325.2_3674,100.0,726,0,0,1,726,1,726,0.0,1341.0,A1S_3900,ACX60_RS00615
131,lcl|NZ_CP012004.1_cds_WP_000639489.1_117,lcl|CP000521.1_cds_ABS90324.1_3673,100.0,672,0,0,1,672,1,672,0.0,1242.0,A1S_3899,ACX60_RS19400
132,lcl|NZ_CP012004.1_cds_WP_000659468.1_118,lcl|CP000521.1_cds_ABO13751.2_3672,100.0,657,0,0,1,657,1,657,0.0,1214.0,A1S_3362,ACX60_RS00630
133,lcl|NZ_CP012004.1_cds_WP_001139630.1_120,lcl|CP000521.1_cds_ABO13750.1_3671,100.0,1344,0,0,1,1344,1,1344,0.0,2483.0,A1S_3361,ACX60_RS00640
134,lcl|NZ_CP012004.1_cds_WP_001021720.1_121,lcl|CP000521.1_cds_ABO13749.2_3670,100.0,582,0,0,1,582,1,582,0.0,1075.0,A1S_3360,ACX60_RS00645
135,lcl|NZ_CP012004.1_cds_WP_000195974.1_122,lcl|CP000521.1_cds_ABO13748.2_3669,99.841,1887,0,3,1,1884,1,1887,0.0,3465.0,A1S_3359,ACX60_RS00650
136,lcl|NZ_CP012004.1_cds_WP_000605493.1_123,lcl|CP000521.1_cds_ABO13747.2_3668,100.0,504,0,0,1,504,1,504,0.0,931.0,A1S_3358,ACX60_RS00655
