,Number,Locus,PPEE,PPDE,PostFC,RealFC,D1,D2,D3,L1,L2,L3,New Locus,Gene,Product,ProteinID,Start,End,Chrom,Relation
10,79,gene-ACX60_RS00395_hutI,0.0,1.0,-17.75245780927,-17.765249228498,660.061329201166,710.306083426004,689.877596293792,12952.1504910354,10340.0979428238,13309.0205788677,A1S_3403,hutI,imidazolonepropionase,WP_000737795.1,87060,88265,NZ_CP012004.1,WT only
11,80,gene-ACX60_RS00400_hutG,0.0,1.0,-25.528632837019,-25.5774707957938,223.427839309244,326.859927278842,239.780725663233,6336.02944790137,5460.8715849256,8411.79007853181,A1S_3402,hutG,formimidoylglutamase,WP_001016890.1,88276,89196,NZ_CP012004.1,WT only
12,81,gene-ACX60_RS00405_ACX60_RS00405,1.09012860810553e-05,0.999989098713919,-2.53835021908978,-2.54648600566383,105.142512616115,119.128902880671,73.1534417277659,296.777903033755,283.758096586259,176.898631619039,A1S_3399,(),DUF885 domain-containing protein,WP_009517991.1,89450,91276,NZ_CP012004.1,WT only
13,98,gene-ACX60_RS00495_dtd,0.0049616406510296,0.99503835934897,-1.84069381378506,-1.84653070460867,57.6823506713408,88.6021215174994,80.2655818957431,114.420396350363,128.338724182167,175.597906386546,A1S_3383,dtd,D-aminoacyl-tRNA deacylase,WP_001202017.1,107481,107924,NZ_CP012004.1,Shared
14,112,gene-ACX60_RS00565_ACX60_RS00565,0.0006681002575595,0.99933189974244,2.472082352353508,2.474907608362065,528.633188431022,723.708085000079,776.239298333516,314.656089963499,369.709719203674,135.275424179265,A1S_3905,(),hypothetical protein,WP_000876371.1,123024,123587,NZ_CP012004.1,WT only
15,145,gene-ACX60_RS00750_ACX60_RS00750,1.88998535233242e-05,0.999981100146477,-3.32737218280923,-3.35189617006518,52.5712563080574,46.9070055092644,49.7849811758407,160.903682367699,111.85485135143,227.626915686264,A1S_3339,(),TonB-dependent siderophore receptor,WP_031978803.1,158484,160673,NZ_CP012004.1,WT only
16,186,gene-ACX60_RS00955_ACX60_RS00955,4.31144341712653e-05,0.999956885565829,1.9597819915789796,1.9650409020455966,210.28502523223,171.992353533969,181.867584295418,107.269121578466,121.274207254708,58.5326354621821,A1S_3299,(),ion channel,WP_001256565.1,208380,209072,NZ_CP012004.1,WT only
17,187,gene-ACX60_RS00960_betT,0.0,1.0,4.680090152248863,4.681161548463401,7649.11779282236,8245.20919062847,9400.21726201792,2005.93257351731,2471.40350512265,926.11636553497,A1S_3298,betT,choline BCCT transporter BetT,WP_001139472.1,209238,211205,NZ_CP012004.1,Shared
18,207,gene-ACX60_RS01060_ACX60_RS01060,0.0,1.0,4.094634386623245,4.0969191291050535,2649.73734919362,3098.84058618347,2981.00275040646,834.315390054733,972.548497013486,323.880582890741,A1S_3278,(),hydrolase,WP_000046156.1,233622,234248,NZ_CP012004.1,WT only
19,211,gene-ACX60_RS01080_ACX60_RS01080,0.0018954822863115,0.998104517713688,1.839625628187145,1.8421274586920044,349.014729378492,273.996476625544,349.510888254881,219.30575967153,195.451634993025,113.163095226885,A1S_3274,(),GFA family protein,WP_000114351.1,237977,238402,NZ_CP012004.1,WT only
20,212,gene-ACX60_RS01085_ACX60_RS01085,0.001181859376885,0.998818140623115,-5.95296453939862,-5.97508696302125,117.555170355517,111.683346450629,122.938422903607,461.257222787402,493.338765434202,1149.84110552375,A1S_3273,(),hypothetical protein,WP_000777195.1,238631,239014,NZ_CP012004.1,WT only
21,215,gene-ACX60_RS01100_ACX60_RS01100,0.0004070183905275,0.999592981609472,-1.95748285257465,-1.9665861466058,66.4442267226837,57.3307845113231,41.6568209838667,114.420396350363,84.7742031295049,126.170347551815,A1S_3271,(),LysR family transcriptional regulator,WP_000423157.1,240908,241828,NZ_CP012004.1,WT only
22,239,gene-ACX60_RS01220_ACX60_RS01220,1.02996847489711e-05,0.999989700315251,2.6056783280964515,2.6066287674185133,2394.18263102945,2335.67105210416,2197.65131190497,1086.99376532845,1359.91950853581,210.717487663855,A1S_3253,(),hypothetical protein,WP_011860463.1,259664,260107,NZ_CP012004.1,WT only
23,240,gene-ACX60_RS01225_ACX60_RS01225,0.0184509014624711,0.981549098537529,-4.37103918864874,-4.38984660456056,116.094857680294,55.0971175823105,110.746182615646,307.504815191602,246.080672973146,684.181472291284,A1S_3252,(),DNA/RNA non-specific endonuclease,WP_000157128.1,260363,261442,NZ_CP012004.1,Shared
24,243,gene-ACX60_RS01240_aqpZ,6.43929354282591e-15,0.999999999999994,4.045194987604725,4.046192756397547,5352.7761110329,7240.05907257281,6833.75068140213,1777.09178081658,2087.56475206406,936.522167394913,A1S_3248,aqpZ,aquaporin Z,WP_001045987.1,262605,263294,NZ_CP012004.1,WT only
25,249,gene-ACX60_RS01270_ACX60_RS01270,0.0001601722634609,0.999839827736539,2.180247246600035,2.1819248680261625,654.950234837882,927.716331183229,832.120399653337,377.825683781929,467.435536700186,261.44577173108,A1S_3242,(),membrane protein,WP_001088854.1,267721,268113,NZ_CP012004.1,WT only
26,250,gene-ACX60_RS01275_ACX60_RS01275,0.0452259355774206,0.954774064422579,2.6811737131803466,2.6885790537570387,235.840497048647,437.798718086468,286.517646767083,148.984891081202,136.580660597536,71.5398877871114,A1S_3241,(),antibiotic biosynthesis monooxygenase,WP_000021008.1,268117,268428,NZ_CP012004.1,WT only
27,254,gene-ACX60_RS01295_ACX60_RS01295,1.7018340114916e-07,0.999999829816599,-2.80491837700845,-2.82149696361524,54.0315689832813,60.3090070833399,56.8971213438179,138.257978923356,134.225821621716,210.717487663855,A1S_3237,(),3'-5' exonuclease domain-containing protein 2,WP_001287564.1,270900,271541,NZ_CP012004.1,Shared
28,262,gene-ACX60_RS01335_ACX60_RS01335,0.0307817151850061,0.969218284814994,-2.474425136343,-2.47460079232627,3584.33746133686,6508.16087549968,3112.06933350204,14170.2509605153,11025.3560847873,7480.47081206687,A1S_3231,(),acetyl-CoA hydrolase/transferase family protein,WP_000059340.1,275143,276657,NZ_CP012004.1,WT only
29,266,gene-ACX60_RS01355_ACX60_RS01355,5.295763827462e-14,0.999999999999947,3.6649740139215328,3.6705684097748694,907.584327651603,1061.73634692398,781.319398453499,277.707836975361,340.274232005929,131.373248481786,A1S_3225,(),SulP family inorganic anion transporter,WP_025467428.1,282395,284584,NZ_CP012004.1,Shared
30,271,gene-ACX60_RS01380_ACX60_RS01380,0.0372159631486246,0.962784036851375,2.412138044079126,2.4145013995219173,603.839291205049,1021.53034220176,644.156695213938,315.847969092149,362.645202276215,261.44577173108,A1S_3222,(),aminotransferase class I/II-fold pyridoxal phosphate-dependent enzyme,WP_000221161.1,287943,289220,NZ_CP012004.1,WT only
31,285,gene-ACX60_RS01450_ACX60_RS01450,7.65950591841147e-09,0.999999992340494,-2.89812048796714,-2.90105824790093,430.792239191026,244.214250905376,341.382728062907,899.868742130462,818.306544097304,1230.48606993832,A1S_3211,(),amino acid permease,WP_001183126.1,303101,304519,NZ_CP012004.1,Shared
32,290,gene-ACX60_RS01475_ACX60_RS01475,3.0788704918904797e-12,0.999999999996921,-2.07217757012343,-2.07943652975431,83.2378224877576,87.113010231491,61.9772214638016,182.357506683392,146.000016500814,154.786302666659,A1S_3207,(),sulfate ABC transporter substrate-binding protein,WP_001988040.1,307206,308207,NZ_CP012004.1,Shared
33,311,gene-ACX60_RS01580_ACX60_RS01580,1.09841691298129e-10,0.999999999890158,3.024212850124466,3.0249159724890102,4121.73252581923,4367.56340186262,5210.15068305533,1840.26137463501,2012.20990483783,676.377120896326,A1S_3180,(),LemA family protein,WP_000846931.1,334926,335516,NZ_CP012004.1,WT only
34,312,gene-ACX60_RS01585_ACX60_RS01585,0.0,1.0,2.823522030436869,2.8248777511137404,1855.32725387186,2070.60924319467,2051.34442844943,840.274785697981,910.145264154267,365.503790330515,A1S_3179,(),TPM domain-containing protein,WP_001246375.1,335538,336620,NZ_CP012004.1,WT only
35,313,gene-ACX60_RS01590_ACX60_RS01590,0.0,1.0,4.128990526595307,4.143782769071347,454.157241994607,481.727501023715,442.984730462582,126.33918763686,153.064533428273,53.3297345322103,A1S_3178,(),TPM domain-containing protein,WP_000258957.1,336614,337174,NZ_CP012004.1,WT only
36,317,gene-ACX60_RS01610_ACX60_RS01610,4.36427460837052e-09,0.999999995635725,-5.65111933549479,-5.75435170984518,18.9840647779096,30.5267813631721,21.3364205039317,125.14730850821,95.370978520693,187.304433478983,A1S_3174,(),bacterioferritin-associated ferredoxin,WP_000289091.1,340511,340705,NZ_CP012004.1,WT only
37,334,gene-ACX60_RS01695_ACX60_RS01695,0.0,1.0,-2.37712308605427,-2.38350560957895,143.840798509546,87.8575658744952,107.698122543655,289.626628261857,269.629062731342,249.739244638643,A1S_3160,(),triacylglycerol lipase,WP_085943440.1,355963,356904,NZ_CP012004.1,Shared
38,338,gene-ACX60_RS01715_ACX60_RS01715,0.0,1.0,6.717525911238498,6.745924225706505,667.362892577285,713.28430599802,755.918897853581,137.066099794706,135.403241109626,44.2246579047598,A1S_3155,(),hemerythrin domain-containing protein,WP_001019905.1,360118,360561,NZ_CP012004.1,Shared
39,346,gene-ACX60_RS01755_ACX60_RS01755,2.28467271323751e-07,0.999999771532729,2.0456486251630634,2.0558257748521416,114.63454500507,110.938790807625,106.682102519659,71.5127477189771,58.8709743954895,31.2174055798304,A1S_3147,(),hypothetical protein,WP_000719504.1,367173,367538,NZ_CP012004.1,WT only
40,347,gene-ACX60_RS01760_ACX60_RS01760,0.0001225211719851,0.999877478828015,-2.20607085246582,-2.20677503190815,1093.04403740503,431.842272942434,1169.43904762026,1749.67856085764,2012.20990483783,2183.91766535564,A1S_3146,(),MFS transporter,WP_000790118.1,367908,369137,NZ_CP012004.1,WT only
41,349,gene-ACX60_RS01770_ACX60_RS01770,8.45209781530354e-06,0.999991547902185,2.2533508476881794,2.254510636280678,1290.18624856024,1074.39379285506,1468.1489346753,632.887817312948,702.919434282144,364.203065098022,A1S_3143,(),superoxide dismutase family protein,WP_001143885.1,371517,372092,NZ_CP012004.1,WT only
42,358,gene-ACX60_RS01815_ACX60_RS01815,5.79389516697226e-05,0.99994206104833,-2.06402177616341,-2.06409617522588,6426.10592732241,10336.6659918273,5735.43303546164,16413.3674806339,16651.0663980202,13374.0568404924,A1S_3134,(),Glu/Leu/Phe/Val dehydrogenase,WP_001281781.1,381103,382374,NZ_CP012004.1,WT only
43,360,gene-ACX60_RS01825_astA,0.0055054488695841,0.994494551130416,-2.61047494213302,-2.61120819726284,1379.2653217489,1002.91645112665,1072.91714534057,3765.14616740415,3508.71007397117,1748.1747124705,A1S_3131,astA,arginine N-succinyltransferase,WP_000973732.1,383752,384783,NZ_CP012004.1,WT only
44,361,gene-ACX60_RS01830_astD,0.0304244727777954,0.969575527222205,-2.54716188904826,-2.54749752740331,2904.56191102017,2019.23490382738,2327.70187497655,7313.37033339406,7766.25894225297,3393.59213157407,A1S_3130,astD,succinylglutamate-semialdehyde dehydrogenase,WP_000071645.1,384783,386252,NZ_CP012004.1,WT only
45,362,gene-ACX60_RS01835_astB,0.0036954230914934,0.996304576908507,-2.7138951781823,-2.71434441903861,2440.182480299,1612.70752274709,1948.72640602576,6316.95938184298,6785.46850882412,3188.07754484018,A1S_3129,astB,N-succinylarginine dihydrolase,WP_000679450.1,386270,387613,NZ_CP012004.1,WT only
46,363,gene-ACX60_RS01840_astE,0.0026178359078484,0.997382164092152,-2.82580016772545,-2.8267056670655,1301.86874996203,678.290190776823,1191.79148814819,3593.5155728786,3632.3391202017,1740.37036107555,A1S_3128,astE,succinylglutamate desuccinylase,WP_001150820.1,387626,388600,NZ_CP012004.1,WT only
47,366,gene-ACX60_RS01855_ACX60_RS01855,3.55753907884671e-05,0.999964424609212,2.2587953054232752,2.263112385122199,296.443473070435,393.125379506216,348.494868230885,179.973748426092,195.451634993025,83.2464148795478,A1S_3126,(),S8 family serine peptidase,WP_001190943.1,390362,391717,NZ_CP012004.1,WT only
48,367,gene-ACX60_RS01860_ACX60_RS01860,8.818501484597619e-13,0.999999999999118,3.9902623223556124,4.002387853535038,436.633489891921,586.709846687307,529.346432502306,164.479319753647,176.612923186468,46.8261083697457,A1S_3125,(),hypothetical protein,WP_001088069.1,391816,392247,NZ_CP012004.1,WT only
49,368,gene-ACX60_RS01865_ACX60_RS01865,0.0001196532936369,0.999880346706363,2.6295484737029913,2.6388843903707366,194.95174214238,291.865812057645,237.748685615239,116.804154607663,108.322592887701,49.4275588347315,A1S_3124,(),hypothetical protein,WP_000644154.1,392342,392761,NZ_CP012004.1,WT only
50,369,gene-ACX60_RS01870_ACX60_RS01870,0.003311328359685,0.996688671640315,-2.05831768198865,-2.07386912849374,27.7459408292525,52.863450653298,26.4165206239155,85.8152972627725,65.9354913229482,70.2391625546185,A1S_3123,(),LysR family transcriptional regulator,WP_000355659.1,392910,393776,NZ_CP012004.1,WT only
51,373,gene-ACX60_RS01890_ACX60_RS01890,0.000855634531268,0.999144365468732,-8.15697929077556,-8.19930455779416,86.8886041758172,96.7922335905455,82.2976219437366,456.489706272804,486.274248506743,1238.29042133327,A1S_3880,(),hypothetical protein,WP_000793442.1,396363,397193,NZ_CP012004.1,WT only
52,385,gene-ACX60_RS01950_hemF,0.0,1.0,4.652045857887525,4.653014488574026,7787.11734063101,10507.1692340752,9303.69535973822,1829.53446247716,2728.08095348698,1373.56584551254,A1S_3108,hemF,oxygen-dependent coproporphyrinogen oxidase,WP_001164616.1,412177,413127,NZ_CP012004.1,WT only
53,389,gene-ACX60_RS01970_ACX60_RS01970,0.0235474369624213,0.976452563037579,-2.7363464642813,-2.73657598622957,3788.05107953058,4643.04898977417,3469.7083819489,7788.93010572526,9081.43651024821,15697.1521057247,A1S_3104,(),DEAD/DEAH box helicase,WP_000047395.1,417428,419275,NZ_CP012004.1,WT only
54,408,gene-ACX60_RS02070_ACX60_RS02070,5.65144708808418e-10,0.999999999434855,2.349427444117548,2.3512697522956603,922.917610741453,804.864650087536,981.475343180859,411.198299384118,500.403282361661,240.634168011193,A1S_3085,(),globin domain-containing protein,WP_000188888.1,437395,438159,NZ_CP012004.1,WT only
55,409,gene-ACX60_RS02075_ACX60_RS02075,1.67434299802594e-06,0.999998325657002,1.944246639962598,1.9446670051607704,2472.30935915392,2195.69459121938,2203.74743204895,1342.05589885947,1467.0646819356,724.503954498565,A1S_3084,(),DUF853 domain-containing protein,WP_000537113.1,438305,439852,NZ_CP012004.1,WT only
56,423,gene-ACX60_RS02145_rplN,0.0343928522751,0.9656071477249,-2.50431391115356,-2.50462103797557,2308.02418319124,2563.50507886345,2833.67984692693,4532.7163262545,5476.17803826843,9289.77961046454,A1S_3071,rplN,50S ribosomal protein L14,WP_001982634.1,447353,447721,NZ_CP012004.1,WT only
57,426,gene-ACX60_RS02160_rpsN,0.0179922907102776,0.982007709289722,-3.12841348976811,-3.12928155089633,1174.82154721756,1373.70516134274,1308.63379090781,2616.17468738591,3412.16167596257,6041.86870492968,A1S_3068,rpsN,30S ribosomal protein S14,WP_001074624.1,448610,448915,NZ_CP012004.1,WT only
58,428,gene-ACX60_RS02170_rplF,0.0031026699310076,0.996897330068992,-3.17060637753651,-3.17091794188627,3599.67074442671,3522.49274705285,3837.50763063572,8462.34181341229,9405.2268694234,16884.7142429908,A1S_3066,rplF,50S ribosomal protein L6,WP_000091932.1,449336,449869,NZ_CP012004.1,WT only
59,429,gene-ACX60_RS02175_rplR,0.0081176294555435,0.991882370544456,-2.92666717996605,-2.92722448537149,1782.31162011067,1765.34142956295,1890.81326465795,3859.30461856747,4284.62951650372,7775.73543984277,A1S_3065,rplR,50S ribosomal protein L18,WP_001003194.1,449884,450234,NZ_CP012004.1,WT only
60,430,gene-ACX60_RS02180_rpsE,0.0244462086323535,0.975553791367647,-2.84609959624766,-2.84633435996874,3709.92435140611,4525.40919817951,4135.20149766677,8796.06796943419,9108.51715847013,17306.1492183185,A1S_3064,rpsE,30S ribosomal protein S5,WP_001141025.1,450237,450734,NZ_CP012004.1,WT only
61,433,gene-ACX60_RS02195_secY,0.0074049371896767,0.992595062810323,-2.97184659509364,-2.97193560358579,11582.4699835377,11266.6159899395,12001.2285234496,26269.0159954376,27319.6643779708,49984.2692342385,A1S_3061,secY,preprotein translocase subunit SecY,WP_002000592.1,451407,452726,NZ_CP012004.1,WT only
62,435,gene-ACX60_RS02205_rpsM,0.0438222464090133,0.956177753590987,-2.18995315227212,-2.19019383873747,2447.48404367512,2577.65163608053,2752.39824500719,4365.85324824355,4675.53278648977,7992.95655366909,A1S_3059,rpsM,30S ribosomal protein S13,WP_000090815.1,452971,453327,NZ_CP012004.1,WT only
63,437,gene-ACX60_RS02215_rpsD,0.028278169664098,0.971721830335902,-2.54809738708043,-2.54820312827003,7523.53090275311,7278.03141036602,8229.76219437366,14894.9134707343,15666.7437061277,28126.8824274272,A1S_3057,rpsD,30S ribosomal protein S4,WP_000135204.1,453746,454372,NZ_CP012004.1,WT only
64,438,gene-ACX60_RS02220_rpoA,0.0449851926524143,0.955014807347586,-2.83759829804113,-2.83769058301636,10720.8855051557,9433.51999686317,11170.1241438203,22059.2989130471,22901.9864593333,43928.0925517514,A1S_3056,rpoA,DNA-directed RNA polymerase subunit alpha,WP_000198631.1,454390,455397,NZ_CP012004.1,WT only
65,439,gene-ACX60_RS02225_rplQ,0.0016555235815457,0.998344476418454,-3.28604887263397,-3.28657495288225,2327.73840430677,1967.11600881709,2541.06608001587,5822.32954345339,5709.30709687457,10935.1970295681,A1S_3055,rplQ,50S ribosomal protein L17,WP_001216380.1,455416,455793,NZ_CP012004.1,WT only
66,455,gene-ACX60_RS02305_ACX60_RS02305,0.0002152394144636,0.999784760585536,3.5506794211012593,3.551254556216795,6994.16755798448,10732.7695939055,7049.14692648944,2668.6173690465,3203.75842660254,1104.3157223865,A1S_3043,(),hypothetical protein,WP_000479323.1,471174,473540,NZ_CP012004.1,WT only
67,483,gene-ACX60_RS02445_ACX60_RS02445,3.96503063559983e-06,0.999996034969364,2.629993904982122,2.630587311418439,3680.11206814141,4559.53218329839,3127.48235726607,975.755686251583,1917.8161844921,1427.545942661,,,,,,,,WT only
68,488,gene-ACX60_RS02470_ACX60_RS02470,4.71447013206117e-07,0.999999528552987,-2.5688728788828,-2.58600094641453,65.7140703850718,27.5485587911553,50.8010011998374,134.682341537407,137.758080085445,100.155842901956,A1S_3011,(),TetR/AcrR family transcriptional regulator,WP_000562197.1,503914,504513,NZ_CP012004.1,WT only
69,489,gene-ACX60_RS02475_ACX60_RS02475,0.019977539592176,0.980022460407824,-2.79386965091133,-2.79815056987594,294.253004057599,144.443794742814,220.476345207294,789.023983166048,739.419438407348,316.076231495783,A1S_3010,(),DUF1446 domain-containing protein,WP_000002859.1,504700,506505,NZ_CP012004.1,WT only
70,497,gene-ACX60_RS02515_ACX60_RS02515,7.905581966838331e-09,0.999999992094418,-2.48659913818467,-2.49746631566217,81.7775098125338,63.2872296553567,70.1053816557756,148.984891081202,166.01614779528,222.424014756292,A1S_3002,(),glutathione S-transferase N-terminal domain-containing protein,WP_000110146.1,514281,514934,NZ_CP012004.1,WT only
71,516,gene-ACX60_RS02610_ACX60_RS02610,3.96503063559983e-06,0.999996034969364,2.629993904982122,2.630587311418439,3680.11206814141,4559.53218329839,3127.48235726607,975.755686251583,1917.8161844921,1427.545942661,,,,,,,,WT only
72,542,gene-ACX60_RS02750_ACX60_RS02750,5.6621374255883e-15,0.999999999999994,4.089757024163714,4.09170693790735,2856.37159273779,3766.70699795823,3576.39048446855,1048.85363321166,1092.64528478028,351.195812773092,A1S_2939,(),heavy metal translocating P-type ATPase,WP_000349570.1,557024,559381,NZ_CP012004.1,WT only
73,545,gene-ACX60_RS02765_ACX60_RS02765,0.0103203583275748,0.989679641672425,3.0590695293316794,3.102082916126325,62.7934450346242,61.0535627263441,109.730162591649,25.029461701642,29.4354871977447,20.811603719887,,(),hypothetical protein,WP_000853614.1,561654,562004,NZ_CP012004.1,Shared
74,547,gene-ACX60_RS02775_ACX60_RS02775,0.0010937696233458,0.998906230376654,2.020435189394848,2.0237213781190118,357.776605429835,256.871696836448,373.895368830803,175.206231911494,188.387118065566,124.869622319322,A1S_2935,(),copper resistance protein B,WP_000557535.1,564043,564963,NZ_CP012004.1,WT only
75,552,gene-ACX60_RS02800_ACX60_RS02800,1.4290457706067598e-11,0.99999999998571,2.9597002543708766,2.9643964898414494,578.283819388632,601.600959547391,766.079098093548,239.567704858573,267.274223755522,149.583401736688,A1S_2931,(),copper-binding protein,WP_000911301.1,571548,571910,NZ_CP012004.1,Shared
76,553,gene-ACX60_RS02805_ACX60_RS02805,0.0012094772800983,0.998790522719902,-2.09676175302509,-2.09828056988165,400.855829348938,324.62626034983,410.472089694686,730.621905862216,611.080714225181,1041.88091122684,A1S_2930,(),ferrous iron transporter B,WP_001086231.1,571982,573811,NZ_CP012004.1,WT only
77,554,gene-ACX60_RS02810_ACX60_RS02810,0.0019014487579985,0.998098551242001,-2.64804901200777,-2.71767348679071,11.6825014017905,16.3802241460923,9.14418021597074,25.029461701642,30.6129066856545,45.5253831372527,A1S_3850,(),ferrous iron transport protein A,WP_001048216.1,573801,574061,NZ_CP012004.1,WT only
78,555,gene-ACX60_RS02815_ACX60_RS02815,0.0001334071328501,0.99986659286715,-3.48611411256738,-3.49525805003872,155.523299911337,92.3248997325204,179.835544247424,436.22776108576,348.516168421298,710.195976941142,A1S_2929,(),cation diffusion facilitator family transporter,WP_000537297.1,574073,575380,NZ_CP012004.1,Shared
79,568,gene-ACX60_RS02880_ACX60_RS02880,4.31658658973655e-05,0.999956834134103,-1.92648888356426,-1.92871985987162,225.61830832208,231.556804974305,196.091864631372,381.401321167878,354.403265860847,524.192268694653,A1S_2919,(),bestrophin family protein,WP_000637023.1,587273,588184,NZ_CP012004.1,WT only
80,575,gene-ACX60_RS02915_ACX60_RS02915,0.0014667760889356,0.998533223911064,-2.09465275104642,-2.10229617379513,85.4282915005933,48.3961167952728,91.4418021597073,156.1361658531,197.806473968845,119.66672138935,A1S_2911,(),LemA family protein,WP_000147154.1,595047,595616,NZ_CP012004.1,WT only
81,576,gene-ACX60_RS02920_ACX60_RS02920,2.24989329833392e-07,0.99999977501067,-1.94337602085333,-1.9493264211885,97.8409492399958,80.4120094444532,71.1214016797724,154.94428672445,141.290338549175,189.905883943968,A1S_3846,(),hypothetical protein,WP_001121092.1,595702,596730,NZ_CP012004.1,WT only
82,579,gene-ACX60_RS02935_ACX60_RS02935,0.0,1.0,-1.85921825019268,-1.8610977621748,259.93565618984,262.083586337477,197.107884655369,475.559772331198,417.983918207975,444.848029512584,A1S_2908,(),integrase arm-type DNA-binding domain-containing protein,WP_001118986.1,598344,599645,NZ_CP012004.1,WT only
83,586,gene-ACX60_RS02975_ACX60_RS02975,1.36732150968211e-06,0.99999863267849,2.004096111316493,2.004450347817529,3090.75177711121,2585.84174815357,3261.42427702956,1727.0328574133,1696.66148207801,1035.37728506438,A1S_2906,(),HAMP domain-containing histidine kinase,WP_000194111.1,608237,609505,NZ_CP012004.1,WT only
84,629,gene-ACX60_RS03190_ACX60_RS03190,0.0027527628762119,0.997247237123788,3.280165175608985,3.2829351395301987,1530.40768363456,944.841110972325,1776.00300194632,401.663266354921,599.306519346083,293.963902543403,A1S_2863,(),peroxiredoxin,WP_000175334.1,656014,656655,NZ_CP012004.1,WT only
85,643,gene-ACX60_RS03260_ACX60_RS03260,2.17251571177357e-08,0.999999978274843,2.044165799546232,2.044217463760629,18943.1760230034,21024.0176915095,25026.6052310879,10321.6732541057,11663.5174472344,9808.76897822922,A1S_2848,(),glucose/quinate/shikimate family membrane-bound PQQ-dependent dehydrogenase,WP_001075596.1,673042,675447,NZ_CP012004.1,WT only
86,647,gene-ACX60_RS03280_ACX60_RS03280,0.0015664736548902,0.99843352634511,3.388255561188683,3.3907598933807273,1815.16865530321,1209.15836423882,2062.5206487134,675.795465944334,722.935565576611,101.456568134449,A1S_2843,(),VOC family protein,WP_001176578.1,678214,678657,NZ_CP012004.1,WT only
87,650,gene-ACX60_RS03295_ACX60_RS03295,6.79265329317502e-07,0.999999320734671,2.9774794273403837,2.9774912444651767,248521.85232029,218761.616249278,316535.958376067,91680.5344548573,111937.270715584,59630.4475584061,A1S_2840,(),OmpA family protein,WP_000777879.1,680965,682035,NZ_CP012004.1,WT only
88,656,gene-ACX60_RS03330_mscL,0.0001249948011915,0.999875005198808,2.443726460595007,2.4443021195032126,3103.89459118822,2812.93121926985,3726.76144802007,1623.33937322078,1774.37116828005,547.605322879526,A1S_2834,mscL,large conductance mechanosensitive channel protein MscL,WP_000022555.1,689989,690420,NZ_CP012004.1,WT only
